age,job,education,balance,contact,deposit
69,services,secondary,2410.56,unknown,yes
32,technician,primary,2123.23,cellular,no
89,services,secondary,5297.11,unknown,yes
78,services,secondary,3949.75,unknown,yes
38,management,primary,3067.45,cellular,yes
92,blue-collar,tertiary,276.83,cellular,no
92,management,tertiary,629.03,unknown,no
41,blue-collar,secondary,1477.36,unknown,yes
20,services,primary,2468.67,cellular,yes
39,services,secondary,790.7,cellular,no
70,management,secondary,451.42,cellular,no
19,admin.,secondary,863.19,cellular,no
47,admin.,secondary,2387.12,cellular,no
55,management,secondary,3130.67,cellular,no
19,self-employed,tertiary,3869.94,cellular,no
81,blue-collar,secondary,1094.65,cellular,yes
77,admin.,tertiary,767.63,cellular,no
38,unemployed,secondary,3518.48,telephone,yes
50,blue-collar,secondary,1301.69,cellular,yes
93,retired,tertiary,1898.69,cellular,yes
75,blue-collar,primary,1202.93,cellular,yes
39,management,primary,377.65,cellular,no
66,technician,unknown,4278.78,unknown,yes
76,management,tertiary,548.17,cellular,no
59,management,tertiary,260.65,cellular,no
77,management,tertiary,1772.42,cellular,yes
32,management,tertiary,791.51,cellular,yes
79,self-employed,secondary,1458.55,unknown,yes
79,housemaid,tertiary,737.19,unknown,no
64,entrepreneur,secondary,1690.98,cellular,no
79,blue-collar,secondary,7196.92,unknown,no
68,self-employed,tertiary,1536.28,unknown,no
72,admin.,secondary,1744.69,cellular,no
81,technician,secondary,4562.45,unknown,yes
20,management,secondary,1215.16,cellular,yes
68,unemployed,unknown,478.61,cellular,no
24,management,secondary,2072.34,telephone,yes
38,blue-collar,secondary,1838.85,cellular,yes
90,technician,primary,2975.68,cellular,yes
56,technician,secondary,504.68,cellular,yes
35,blue-collar,secondary,2896.46,cellular,no
21,technician,secondary,138.97,unknown,no
77,services,secondary,3658.43,cellular,no
31,technician,secondary,4624.14,cellular,no
26,services,secondary,7331.15,cellular,no
70,blue-collar,secondary,2661.9,cellular,no
19,services,primary,544.44,unknown,yes
77,management,tertiary,2042.28,unknown,no
88,admin.,tertiary,3808.95,cellular,yes
61,blue-collar,secondary,4152.71,cellular,yes
25,services,secondary,717.75,cellular,yes
64,retired,primary,935.89,cellular,yes
52,blue-collar,secondary,4104.94,unknown,no
53,technician,primary,698.97,cellular,yes
67,entrepreneur,secondary,607.23,cellular,no
21,retired,primary,2192.23,cellular,yes
19,management,secondary,1903.09,telephone,no
23,technician,secondary,2305.04,cellular,yes
71,self-employed,tertiary,2019.47,cellular,no
21,blue-collar,tertiary,3373.12,telephone,no
71,technician,secondary,2192.11,cellular,yes
80,services,unknown,1338.59,unknown,no
35,blue-collar,secondary,2569.2,unknown,yes
61,blue-collar,secondary,1636.08,cellular,no
51,blue-collar,tertiary,1141.25,cellular,no
91,management,tertiary,126.4,cellular,yes
79,blue-collar,unknown,329.67,unknown,no
31,management,secondary,535.53,unknown,yes
65,technician,secondary,1011.02,unknown,no
32,retired,tertiary,2245.68,cellular,yes
89,student,secondary,1077.08,cellular,no
79,services,secondary,424.67,cellular,no
57,management,secondary,2479.57,unknown,no
70,blue-collar,secondary,7634.3,unknown,yes
41,management,secondary,1170.84,cellular,yes
43,unemployed,secondary,1208.86,cellular,no
77,blue-collar,tertiary,4795.5,unknown,yes
58,admin.,tertiary,1351.91,cellular,no
46,student,secondary,8178.1,cellular,no
32,blue-collar,secondary,2901.4,cellular,yes
62,entrepreneur,secondary,3024.29,cellular,no
82,blue-collar,secondary,1431.26,cellular,no
88,unemployed,tertiary,550.45,cellular,yes
26,admin.,unknown,5882.54,cellular,yes
18,services,tertiary,6761.36,cellular,yes
25,entrepreneur,tertiary,7069.09,cellular,yes
80,technician,secondary,4729.12,cellular,no
28,admin.,secondary,990.34,cellular,yes
25,blue-collar,primary,2082.96,cellular,yes
52,unemployed,unknown,2443.91,cellular,yes
52,technician,secondary,1139.07,telephone,yes
50,unemployed,secondary,2619.1,cellular,no
22,blue-collar,tertiary,758.35,cellular,no
58,management,secondary,122.64,cellular,no
45,unemployed,tertiary,1120.59,unknown,yes
24,management,primary,602.76,cellular,no
90,technician,secondary,2084.91,cellular,no
89,services,unknown,1151.26,unknown,yes
29,management,unknown,5043.23,cellular,yes
51,management,primary,1000.75,telephone,yes
50,blue-collar,secondary,1586.95,unknown,yes
65,blue-collar,secondary,789.4,unknown,no
40,management,tertiary,1929.24,cellular,no
79,blue-collar,secondary,927.39,cellular,yes
54,technician,secondary,3032.45,unknown,yes
61,admin.,secondary,2122.3,cellular,yes
52,entrepreneur,tertiary,4847.04,cellular,yes
82,admin.,secondary,292.85,cellular,no
64,technician,secondary,2912.72,cellular,no
20,blue-collar,secondary,1571.6,cellular,yes
18,management,tertiary,1147.2,cellular,yes
22,entrepreneur,tertiary,742.07,cellular,no
31,services,secondary,281.26,cellular,no
44,admin.,unknown,1267.39,unknown,no
26,services,secondary,7025.01,cellular,yes
32,management,tertiary,2084.72,cellular,yes
59,management,tertiary,1072.89,unknown,no
94,management,tertiary,911.02,unknown,no
68,entrepreneur,secondary,1656.85,cellular,yes
80,housemaid,primary,1957.41,telephone,yes
69,technician,primary,5158.86,cellular,yes
21,management,tertiary,319.38,cellular,no
40,management,secondary,2912.27,unknown,yes
32,self-employed,secondary,636.92,cellular,no
60,student,tertiary,1480.41,unknown,yes
46,technician,secondary,886.7,cellular,no
53,blue-collar,tertiary,1488.94,unknown,yes
30,management,secondary,784.49,cellular,yes
49,admin.,tertiary,790.06,cellular,yes
88,admin.,secondary,2037.53,unknown,yes
76,management,secondary,4155.0,unknown,yes
45,management,secondary,1972.91,telephone,yes
83,admin.,secondary,2075.55,cellular,no
59,blue-collar,tertiary,843.1,cellular,no
62,services,tertiary,4487.19,unknown,yes
79,management,tertiary,1423.16,cellular,yes
74,services,tertiary,585.23,cellular,no
23,technician,tertiary,6539.67,cellular,no
45,management,secondary,369.12,telephone,no
45,technician,secondary,1469.59,cellular,no
61,management,secondary,2015.46,unknown,yes
47,technician,tertiary,1749.38,cellular,yes
79,management,secondary,4714.1,cellular,no
92,technician,secondary,2929.94,unknown,no
79,blue-collar,tertiary,4777.41,cellular,yes
18,blue-collar,primary,5962.23,cellular,yes
44,admin.,tertiary,1209.97,cellular,no
79,management,tertiary,300.31,cellular,no
94,admin.,tertiary,3678.62,unknown,yes
20,management,secondary,1107.21,cellular,yes
87,technician,tertiary,680.23,cellular,no
89,management,primary,1583.46,cellular,yes
44,management,secondary,4010.43,unknown,no
26,unknown,secondary,1873.38,unknown,yes
79,management,secondary,2975.5,unknown,no
54,management,secondary,2093.61,cellular,yes
68,management,primary,371.04,cellular,no
61,self-employed,secondary,3263.9,cellular,yes
41,blue-collar,secondary,5516.71,cellular,no
76,services,primary,563.53,cellular,no
49,unemployed,tertiary,877.65,unknown,no
69,management,tertiary,2602.87,telephone,yes
79,blue-collar,primary,2749.68,cellular,no
75,blue-collar,secondary,1745.2,cellular,yes
69,technician,tertiary,499.63,cellular,no
29,blue-collar,secondary,3745.89,cellular,yes
56,services,secondary,900.99,unknown,no
19,services,secondary,943.26,unknown,no
20,services,secondary,3989.25,cellular,yes
73,blue-collar,unknown,4262.92,unknown,yes
76,technician,unknown,4514.53,unknown,no
19,admin.,primary,2679.5,cellular,yes
19,blue-collar,secondary,3740.28,cellular,no
71,technician,unknown,3077.14,telephone,yes
18,admin.,tertiary,520.92,unknown,no
36,technician,secondary,1659.81,unknown,no
19,management,tertiary,219.75,cellular,no
70,management,secondary,1975.48,cellular,no
61,admin.,secondary,2256.16,cellular,no
49,student,primary,5021.51,cellular,yes
87,blue-collar,tertiary,802.82,unknown,yes
49,services,secondary,5268.9,cellular,yes
85,services,tertiary,884.64,telephone,yes
72,management,primary,4633.16,cellular,no
